	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Voc	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen	Sec Gen
	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	All Gender	Male	Male	Male	Male	Female	Female	Female	Female	Male	Male	Male	Male	Female	Female	Female	Female
	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu	Specified Higheredu	Specified Higheredu	Non-specified Higheredu	Non-specified Higheredu
VARIABLES		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum		Province Dum
																								
male	0.344***	0.362***	0.345***	0.361***	0.276***	0.283***	0.279***	0.287***																
provincedum6		0.202		0.196		-0.0969		-0.119		0.376		0.367		-0.414		-0.384		-0.167		-0.193		-0.0294		-0.0374
		(0.335)		(0.346)		(0.466)		(0.368)		(0.119)		(0.126)		(0.351)		(0.381)		(0.400)		(0.328)		(0.872)		(0.837)
provincedum7		0.117		0.110		-0.195		-0.219		0.346		0.332		-0.638		-0.609		-0.245		-0.272		-0.176		-0.199
		(0.592)		(0.612)		(0.166)		(0.118)		(0.164)		(0.180)		(0.207)		(0.222)		(0.244)		(0.191)		(0.360)		(0.300)
provincedum8		-0.0199		-0.0191		-0.329**		-0.354***		0.0699		0.0733		-0.478		-0.445		-0.392*		-0.413**		-0.268		-0.298
		(0.928)		(0.930)		(0.0155)		(0.00910)		(0.785)		(0.773)		(0.307)		(0.334)		(0.0556)		(0.0419)		(0.142)		(0.101)
provincedum9		0.315		0.314		0.0106		-0.0117		0.365		0.367		-0.125		-0.0925		-0.0192		-0.0408		0.0314		0.0134
		(0.110)		(0.110)		(0.932)		(0.925)		(0.115)		(0.111)		(0.759)		(0.818)		(0.918)		(0.825)		(0.855)		(0.938)
provincedum10		-0.0319		-0.0351		-0.0955		-0.124		0.239		0.242		-0.801*		-0.763*		-0.0896		-0.116		-0.128		-0.161
		(0.876)		(0.863)		(0.448)		(0.323)		(0.307)		(0.300)		(0.0639)		(0.0732)		(0.638)		(0.538)		(0.453)		(0.342)
provincedum11		0.0893		0.0862		-0.146		-0.177		0.353		0.363		-0.656		-0.643		-0.240		-0.266		-0.0267		-0.0699
		(0.669)		(0.678)		(0.279)		(0.188)		(0.141)		(0.128)		(0.157)		(0.161)		(0.232)		(0.181)		(0.884)		(0.702)
